Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2027-02-12,Auxerre,N/A,,,
2027-02-12,Toulouse,N/A,,,
2027-02-12,Marseille,N/A,,,
2027-02-12,Lille,N/A,,,
2027-02-12,Lyon,N/A,,,
2027-02-19,Angers,N/A,,,
2027-02-19,Stade Rennais FC 1901,N/A,,,
2027-02-19,Paris SG,N/A,,,
2027-02-19,Strasbourg,N/A,,,
2027-02-19,Nice,N/A,,,
2027-02-19,Le Havre,N/A,,,
2027-02-19,Monaco,N/A,,,
2027-02-19,Lille,N/A,,,
2027-02-19,Racing Club de Lens,N/A,,,
2027-02-26,Strasbourg,N/A,,,
2027-02-26,Auxerre,N/A,,,
2027-02-26,ES Troyes AC,N/A,,,
2027-02-26,Brest,N/A,,,
2027-02-26,Lorient,N/A,,,
2027-02-26,Marseille,N/A,,,
2027-02-26,Lyon,N/A,,,
2027-02-26,Le Mans FC,N/A,,,
2027-02-27,Paris SG,N/A,,,
2027-03-05,Le Havre,N/A,,,
2027-03-05,Paris SG,N/A,,,
2027-03-05,Racing Club de Lens,N/A,,,
2027-03-05,Toulouse,N/A,,,
2027-03-05,ES Troyes AC,N/A,,,
2027-03-05,Angers,N/A,,,
2027-03-05,Monaco,N/A,,,
2027-03-05,Paris FC,N/A,,,
2027-03-05,Lille,N/A,,,
2027-03-12,Nice,N/A,,,
2027-03-12,Paris FC,N/A,,,
2027-03-12,Strasbourg,N/A,,,
2027-03-12,Le Mans FC,N/A,,,
2027-03-12,Brest,N/A,,,
2027-03-12,Le Havre,N/A,,,
2027-03-12,Marseille,N/A,,,
2027-03-12,Auxerre,N/A,,,
2027-03-12,Lyon,N/A,,,
2027-03-19,Angers,N/A,,,
2027-03-19,Toulouse,N/A,,,
2027-03-19,ES Troyes AC,N/A,,,
2027-03-19,Stade Rennais FC 1901,N/A,,,
2027-03-19,Monaco,N/A,,,
2027-03-19,Paris SG,N/A,,,
2027-03-19,Racing Club de Lens,N/A,,,
2027-03-19,Lorient,N/A,,,
2027-03-20,Marseille,N/A,,,
2027-04-02,Le Havre,N/A,,,
2027-04-02,Angers,N/A,,,
2027-04-02,Le Mans FC,N/A,,,
2027-04-02,Auxerre,N/A,,,
2027-04-02,Lille,N/A,,,
2027-04-02,Brest,N/A,,,
2027-04-02,Strasbourg,N/A,,,
2027-04-02,Paris FC,N/A,,,
2027-04-02,Nice,N/A,,,
2027-04-09,Lorient,N/A,,,
2027-04-09,Marseille,N/A,,,
2027-04-09,Monaco,N/A,,,
2027-04-09,ES Troyes AC,N/A,,,
2027-04-09,Paris SG,N/A,,,
2027-04-09,Lyon,N/A,,,
2027-04-09,Le Mans FC,N/A,,,
2027-04-09,Lille,N/A,,,
2027-04-09,Nice,N/A,,,
2027-04-16,Auxerre,N/A,,,
2027-04-16,Brest,N/A,,,
2027-04-16,Monaco,N/A,,,
2027-04-16,Angers,N/A,,,
2027-04-16,Racing Club de Lens,N/A,,,
2027-04-16,Stade Rennais FC 1901,N/A,,,
2027-04-16,Le Havre,N/A,,,
2027-04-16,Paris SG,N/A,,,
2027-04-16,Toulouse,N/A,,,
2027-04-23,Paris FC,N/A,,,
2027-04-23,Marseille,N/A,,,
2027-04-23,Lille,N/A,,,
2027-04-23,Lorient,N/A,,,
2027-04-23,ES Troyes AC,N/A,,,
2027-04-23,Nice,N/A,,,
2027-04-23,Lyon,N/A,,,
2027-04-23,Le Mans FC,N/A,,,
2027-04-23,Strasbourg,N/A,,,
2027-04-30,Strasbourg,N/A,,,
2027-04-30,Monaco,N/A,,,
2027-04-30,ES Troyes AC,N/A,,,
2027-04-30,Racing Club de Lens,N/A,,,
2027-04-30,Paris SG,N/A,,,
2027-04-30,Le Havre,N/A,,,
2027-04-30,Auxerre,N/A,,,
2027-04-30,Stade Rennais FC 1901,N/A,,,
2027-04-30,Toulouse,N/A,,,
2027-05-07,Paris FC,N/A,,,
2027-05-07,Lorient,N/A,,,
2027-05-07,Brest,N/A,,,
2027-05-07,Le Mans FC,N/A,,,
2027-05-07,Stade Rennais FC 1901,N/A,,,
2027-05-07,Racing Club de Lens,N/A,,,
2027-05-07,Angers,N/A,,,
2027-05-07,Nice,N/A,,,
2027-05-08,Lyon,N/A,,,
2027-05-15,Monaco,N/A,,,
2027-05-15,Lyon,N/A,,,
2027-05-15,Paris SG,N/A,,,
2027-05-15,Toulouse,N/A,,,
2027-05-15,Brest,N/A,,,
2027-05-15,Marseille,N/A,,,
2027-05-15,Lille,N/A,,,
2027-05-15,Auxerre,N/A,,,
2027-05-15,Strasbourg,N/A,,,
2027-05-21,Nice,N/A,,,
2027-05-21,Angers,N/A,,,
2027-05-21,Lorient,N/A,,,
2027-05-21,ES Troyes AC,N/A,,,
2027-05-21,Le Mans FC,N/A,,,
2027-05-21,Toulouse,N/A,,,
2027-05-21,Le Havre,N/A,,,
2027-05-21,Paris FC,N/A,,,
2027-05-21,Racing Club de Lens,N/A,,,
2027-05-28,Monaco,N/A,,,
2027-05-28,Paris SG,N/A,,,
2027-05-28,Lille,N/A,,,
2027-05-28,Brest,N/A,,,
2027-05-28,Marseille,N/A,,,
2027-05-28,Stade Rennais FC 1901,N/A,,,
2027-05-28,Lyon,N/A,,,
2027-05-28,Auxerre,N/A,,,
2027-05-28,Strasbourg,N/A,,,
